,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores
251,2,manhattan,2,10,1,"[0.7411268855368234, 0.7506112469437652]"
252,2,manhattan,2,10,2,"[0.734472049689441, 0.7454989997777284]"
253,2,manhattan,2,10,3,"[0.7377994676131322, 0.7437208268504112]"
254,2,manhattan,2,10,4,"[0.7477817213842058, 0.7399422093798622]"
255,2,manhattan,3,1,0,"[0.5944986690328306, 0.5712380529006446]"
256,2,manhattan,3,1,1,"[0.6007098491570542, 0.605023338519671]"
257,2,manhattan,3,1,2,"[0.592058562555457, 0.5472327183818626]"
258,2,manhattan,3,1,3,"[0.5816326530612245, 0.5699044232051567]"
259,2,manhattan,3,1,4,"[0.589396628216504, 0.5796843743054012]"
260,2,manhattan,3,5,0,"[0.7233806566104702, 0.6923760835741276]"
261,2,manhattan,3,5,1,"[0.712511091393079, 0.7181595910202268]"
262,2,manhattan,3,5,2,"[0.7051907719609583, 0.7052678372971771]"
263,2,manhattan,3,5,3,"[0.6874445430346051, 0.7123805290064459]"
264,2,manhattan,3,5,4,"[0.7282608695652174, 0.7061569237608357]"
265,2,manhattan,3,10,0,"[0.7480035492457853, 0.7512780617915092]"
266,2,manhattan,3,10,1,"[0.7415705412599822, 0.7483885307846188]"
267,2,manhattan,3,10,2,"[0.7453416149068323, 0.7512780617915092]"
268,2,manhattan,3,10,3,"[0.7424578527062999, 0.7372749499888864]"
269,2,manhattan,3,10,4,"[0.7362466725820763, 0.7361635919093131]"
270,2,manhattan,4,1,0,"[0.60226264418811, 0.5716825961324739]"
271,2,manhattan,4,1,1,"[0.6093611357586513, 0.6001333629695488]"
272,2,manhattan,4,1,2,"[0.5940550133096717, 0.5505667926205824]"
273,2,manhattan,4,1,3,"[0.5811889973380656, 0.5730162258279617]"
274,2,manhattan,4,1,4,"[0.5831854480922803, 0.5807957323849744]"
275,2,manhattan,4,5,0,"[0.7255989352262644, 0.6934874416537008]"
276,2,manhattan,4,5,1,"[0.7202750665483585, 0.717937319404312]"
277,2,manhattan,4,5,2,"[0.7051907719609583, 0.7130473438541898]"
278,2,manhattan,4,5,3,"[0.6825643300798581, 0.7159368748610803]"
279,2,manhattan,4,5,4,"[0.7244897959183674, 0.7068237386085797]"
280,2,manhattan,4,10,0,"[0.75, 0.75083351855968]"
281,2,manhattan,4,10,1,"[0.7424578527062999, 0.7486108024005335]"
282,2,manhattan,4,10,2,"[0.7453416149068323, 0.7521671482551678]"
283,2,manhattan,4,10,3,"[0.7422360248447205, 0.7439430984663259]"
284,2,manhattan,4,10,4,"[0.7360248447204969, 0.7308290731273617]"
285,2,manhattan,5,1,0,"[0.6029281277728483, 0.5787952878417426]"
286,2,manhattan,5,1,1,"[0.5982697426796806, 0.5990220048899756]"
287,2,manhattan,5,1,2,"[0.6024844720496895, 0.5605690153367415]"
288,2,manhattan,5,1,3,"[0.5849600709849158, 0.5763503000666815]"
289,2,manhattan,5,1,4,"[0.5827417923691216, 0.5841298066236942]"
290,2,manhattan,5,5,0,"[0.7255989352262644, 0.7017114914425427]"
291,2,manhattan,5,5,1,"[0.7198314108251996, 0.7174927761724827]"
292,2,manhattan,5,5,2,"[0.7047471162377995, 0.7130473438541898]"
293,2,manhattan,5,5,3,"[0.6889973380656611, 0.7161591464769949]"
294,2,manhattan,5,5,4,"[0.7240461401952085, 0.7068237386085797]"
295,2,manhattan,5,10,0,"[0.75, 0.7523894198710824]"
296,2,manhattan,5,10,1,"[0.7422360248447205, 0.7490553456323628]"
297,2,manhattan,5,10,2,"[0.7453416149068323, 0.7521671482551678]"
298,2,manhattan,5,10,3,"[0.7433451641526175, 0.7441653700822405]"
299,2,manhattan,5,10,4,"[0.7366903283052352, 0.7314958879751056]"
300,2,manhattan,6,1,0,"[0.6024844720496895, 0.5845743498555235]"
301,2,manhattan,6,1,1,"[0.6089174800354925, 0.5987997332740609]"
302,2,manhattan,6,1,2,"[0.6051464063886424, 0.5610135585685708]"
303,2,manhattan,6,1,3,"[0.5858473824312334, 0.5830184485441209]"
304,2,manhattan,6,1,4,"[0.584072759538598, 0.5916870415647921]"
305,2,manhattan,6,5,0,"[0.7264862466725821, 0.7012669482107134]"
306,2,manhattan,6,5,1,"[0.7198314108251996, 0.7174927761724827]"
307,2,manhattan,6,5,2,"[0.7133984028393966, 0.7130473438541898]"
308,2,manhattan,6,5,3,"[0.6947648624667259, 0.715492331629251]"
309,2,manhattan,6,5,4,"[0.7218278615794144, 0.6985996888197378]"
310,2,manhattan,6,10,0,"[0.748890860692103, 0.7519448766392531]"
311,2,manhattan,6,10,1,"[0.7422360248447205, 0.7490553456323628]"
312,2,manhattan,6,10,2,"[0.7471162377994676, 0.7521671482551678]"
313,2,manhattan,6,10,3,"[0.7431233362910381, 0.7441653700822405]"
314,2,manhattan,6,10,4,"[0.7442324755989352, 0.7310513447432763]"
315,2,manhattan,7,1,0,"[0.5978260869565217, 0.5714603245165593]"
316,2,manhattan,7,1,1,"[0.607586512866016, 0.5972438319626584]"
317,2,manhattan,7,1,2,"[0.6184560780834073, 0.5772393865303401]"
318,2,manhattan,7,1,3,"[0.5964951197870453, 0.5801289175372305]"
319,2,manhattan,7,1,4,"[0.5980479148181012, 0.5912424983329628]"
320,2,manhattan,7,5,0,"[0.7193877551020408, 0.6970437875083352]"
321,2,manhattan,7,5,1,"[0.7096273291925466, 0.7219382084907757]"
322,2,manhattan,7,5,2,"[0.7102928127772848, 0.7130473438541898]"
323,2,manhattan,7,5,3,"[0.6994232475598935, 0.7139364303178484]"
324,2,manhattan,7,5,4,"[0.7273735581188997, 0.6968215158924206]"
325,2,manhattan,7,10,0,"[0.748890860692103, 0.750166703711936]"
326,2,manhattan,7,10,1,"[0.75, 0.7490553456323628]"
327,2,manhattan,7,10,2,"[0.7517746228926353, 0.7503889753278506]"
328,2,manhattan,7,10,3,"[0.738243123336291, 0.7459435430095577]"
329,2,manhattan,7,10,4,"[0.7426796805678794, 0.7361635919093131]"
330,2,manhattan,8,1,0,"[0.5971606033717834, 0.5727939542120472]"
331,2,manhattan,8,1,1,"[0.6089174800354925, 0.6005779062013781]"
332,2,manhattan,8,1,2,"[0.6086956521739131, 0.5754612136030229]"
333,2,manhattan,8,1,3,"[0.59472049689441, 0.5876861524783286]"
334,2,manhattan,8,1,4,"[0.5956078083407276, 0.5907979551011335]"
335,2,manhattan,8,5,0,"[0.7196095829636202, 0.7030451211380306]"
336,2,manhattan,8,5,1,"[0.7100709849157054, 0.7232718381862636]"
337,2,manhattan,8,5,2,"[0.7062999112688554, 0.7174927761724827]"
338,2,manhattan,8,5,3,"[0.7038598047914818, 0.7188264058679706]"
339,2,manhattan,8,5,4,"[0.7271517302573203, 0.6977106023560792]"
340,2,manhattan,8,10,0,"[0.748890860692103, 0.7506112469437652]"
341,2,manhattan,8,10,1,"[0.7495563442768411, 0.7483885307846188]"
342,2,manhattan,8,10,2,"[0.75, 0.7503889753278506]"
343,2,manhattan,8,10,3,"[0.7384649511978705, 0.7506112469437652]"
344,2,manhattan,8,10,4,"[0.7404614019520852, 0.7359413202933985]"
345,2,manhattan,9,1,0,"[0.59849157054126, 0.5750166703711936]"
346,2,manhattan,9,1,1,"[0.6126885536823425, 0.6065792398310735]"
347,2,manhattan,9,1,2,"[0.6060337178349601, 0.5774616581462547]"
348,2,manhattan,9,1,3,"[0.5940550133096717, 0.5896865970215603]"
349,2,manhattan,9,1,4,"[0.5953859804791481, 0.5881306957101579]"
350,2,manhattan,9,5,0,"[0.7160603371783496, 0.7032673927539453]"
351,2,manhattan,9,5,1,"[0.7089618456078084, 0.7226050233385197]"
352,2,manhattan,9,5,2,"[0.7080745341614907, 0.7170482329406535]"
353,2,manhattan,9,5,3,"[0.7038598047914818, 0.7250500111135808]"
354,2,manhattan,9,5,4,"[0.7287045252883763, 0.6974883307401645]"
355,2,manhattan,9,10,0,"[0.7484472049689441, 0.75083351855968]"
356,2,manhattan,9,10,1,"[0.7495563442768411, 0.7479439875527895]"
357,2,manhattan,9,10,2,"[0.7493345164152617, 0.7499444320960214]"
