,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores,Relative error
367,2,manhattan,10,5,2,"[0.7102928127772848, 0.7170482329406535]",0.009421151678548
52,2,euclidean,4,5,2,"[0.7056344276841171, 0.7126028006223605]",0.009778761649768
67,2,euclidean,5,5,2,"[0.7051907719609583, 0.7126028006223605]",0.010401346521413
157,2,euclidean,11,5,2,"[0.7091836734693877, 0.7168259613247389]",0.010661287770923
277,2,manhattan,4,5,2,"[0.7051907719609583, 0.7130473438541898]",0.01101830328792
382,2,manhattan,11,5,2,"[0.7089618456078084, 0.7172705045565682]",0.011583717573744
292,2,manhattan,5,5,2,"[0.7047471162377995, 0.7130473438541898]",0.011640500014383
127,2,euclidean,9,5,2,"[0.7080745341614907, 0.7166036897088242]",0.011902193178491
352,2,manhattan,9,5,2,"[0.7080745341614907, 0.7170482329406535]",0.012514777063687
112,2,euclidean,8,5,2,"[0.7062999112688554, 0.7170482329406535]",0.014989677371798
337,2,manhattan,8,5,2,"[0.7062999112688554, 0.7174927761724827]",0.015599968773674
172,2,euclidean,12,5,2,"[0.7040816326530612, 0.715492331629251]",0.015948038115526
187,2,euclidean,13,5,2,"[0.703416149068323, 0.714825516781507]",0.015961052655975
412,2,manhattan,13,5,2,"[0.7031943212067435, 0.7150477883974217]",0.016577167824327
22,2,euclidean,2,5,2,"[0.7198314108251996, 0.7079350966881529]",0.016804244051043
247,2,manhattan,2,5,2,"[0.7198314108251996, 0.7079350966881529]",0.016804244051043
397,2,manhattan,12,5,2,"[0.7038598047914818, 0.7159368748610803]",0.016868903521616
232,2,manhattan,1,5,2,"[0.7182786157941438, 0.6890420093354078]",0.042430804018662
7,2,euclidean,1,5,2,"[0.7182786157941438, 0.6890420093354078]",0.042430804018662
8,2,euclidean,1,5,3,"[0.7262644188110027, 0.7294954434318738]",0.004429122415996
233,2,manhattan,1,5,3,"[0.7262644188110027, 0.7294954434318738]",0.004429122415996
323,2,manhattan,7,5,3,"[0.6994232475598935, 0.7139364303178484]",0.020328396397273
338,2,manhattan,8,5,3,"[0.7038598047914818, 0.7188264058679706]",0.02082088381049
113,2,euclidean,8,5,3,"[0.7040816326530612, 0.7192709490997999]",0.021117655962261
98,2,euclidean,7,5,3,"[0.6992014196983141, 0.7143809735496777]",0.0212485416233
368,2,manhattan,10,5,3,"[0.7040816326530612, 0.7230495665703489]",0.026233241529012
143,2,euclidean,10,5,3,"[0.7043034605146407, 0.7234941098021782]",0.026524955804802
